geo_point_2d,geo_shape,name,parktype,postcode,surfacetype,wickettype,melref,latitude,longitude,easting,northing,projection,googlemaps_drive_to
"-38.040381371900985, 145.326286162443","{""coordinates"": [[[[145.3258390138, -38.0399349584], [145.3256946752, -38.0406809474], [145.3257587194, -38.0407159413], [145.3267319884, -38.0408327345], [145.3268774659, -38.0400496598], [145.3258390138, -38.0399349584]]]], ""type"": ""MultiPolygon""}",Softball Field 4 - Sweeney Reserve,Softball,3806,Turf,Na,110J9,-38.03993496,145.325839,353128,5788383,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.03993495836955,145.32583901375756/@your+location,17z/data=!4m2!4m1!3e0"
"-37.98071342392976, 145.24175402696932","{""coordinates"": [[[[145.2424976786, -37.9808494574], [145.2425106051, -37.980799184], [145.2425177269, -37.9807536001], [145.2425289698, -37.9807023103], [145.2425302871, -37.9806566397], [145.2425311598, -37.9806105118], [145.2425263117, -37.9805655602], [145.2425222711, -37.9805153937], [145.2425115841, -37.9804717966], [145.2424979142, -37.9804291463], [145.2424814892, -37.9803874461], [145.2424621823, -37.9803472349], [145.2424403414, -37.9803082474], [145.2424159558, -37.9802709342], [145.2423889116, -37.9802352934], [145.2423594343, -37.9802014187], [145.2423310715, -37.9801733283], [145.2422970545, -37.9801436213], [145.2422691382, -37.9801254505], [145.242231142, -37.9801002801], [145.2421872361, -37.9800746608], [145.2421460508, -37.9800543091], [145.2421042643, -37.9800353002], [145.2420826806, -37.980028489], [145.2420429597, -37.9800183425], [145.2419746115, -37.9800007389], [145.2419457952, -37.9799964329], [145.2418984122, -37.9799924802], [145.2418587341, -37.9799900846], [145.241810872, -37.9799918923], [145.2417512614, -37.9799898295], [145.2417034936, -37.9799972259], [145.2416506497, -37.9800074303], [145.2416036588, -37.9800204257], [145.2415393692, -37.9800397592], [145.2414947378, -37.9800581404], [145.2414466074, -37.9800703114], [145.2414083575, -37.9800947155], [145.2413694071, -37.9801209808], [145.2413304505, -37.9801496322], [145.2412928221, -37.9801804652], [145.2412563568, -37.9802127652], [145.2412220891, -37.9802471837], [145.2411898569, -37.9802835513], [145.2411598766, -37.9803212823], [145.2411248501, -37.9803605049], [145.2410995628, -37.9804006591], [145.2410696239, -37.9804433168], [145.2410495551, -37.980486164], [145.2410358439, -37.9805268518], [145.2410217894, -37.9805717366], [145.2410050548, -37.980618316], [145.2409945751, -37.98066293], [145.2409814845, -37.980702065], [145.2409773389, -37.9807480032], [145.2409738824, -37.9807981471], [145.2409772723, -37.9808433622], [145.2409796188, -37.9808930272], [145.2409886976, -37.9809368591], [145.2409989367, -37.9809759947], [145.2410137018, -37.9810183529], [145.2410330157, -37.9810578167], [145.241051791, -37.9810964519], [145.2410694161, -37.9811330645], [145.2410951896, -37.9811694978], [145.2411269688, -37.9812070114], [145.2411576055, -37.9812400025], [145.2411921507, -37.98127143], [145.2412271062, -37.9812999798], [145.2412803024, -37.9813323175], [145.2413190101, -37.9813563282], [145.2413704351, -37.9813722371], [145.2414116079, -37.9813883527], [145.241454826, -37.9814046811], [145.2414824955, -37.9814110285], [145.2415281814, -37.9814220949], [145.2415690267, -37.9814284692], [145.2416162609, -37.9814338591], [145.2416637185, -37.9814347498], [145.2417117745, -37.9814343867], [145.2417595741, -37.9814305083], [145.2418078196, -37.981424599], [145.2418571668, -37.9814155723], [145.241904235, -37.981404012], [145.241940796, -37.981393924], [145.2419866319, -37.9813768552], [145.2420322785, -37.9813629374], [145.2420759586, -37.9813407901], [145.2421258367, -37.9813070202], [145.2421665556, -37.9812801427], [145.2421874271, -37.9812690997], [145.2422248304, -37.9812380271], [145.2422665952, -37.9812054877], [145.2422999977, -37.9811702999], [145.24234027, -37.9811335025], [145.2423599781, -37.981099642], [145.2423910034, -37.9810591017], [145.2424239873, -37.981012823], [145.242440373, -37.9809845903], [145.2424654349, -37.9809363007], [145.2424847693, -37.9808942338], [145.2424976786, -37.9808494574]]]], ""type"": ""MultiPolygon""}",Oval - Power Reserve,Oval,3177,Turf,Turf,90K5,-37.98084946,145.2424977,345584,5794868,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-37.980849457376344,145.2424976785626/@your+location,17z/data=!4m2!4m1!3e0"
"-38.062065974609084, 145.2889997480142","{""coordinates"": [[[[145.2896762336, -38.0621260966], [145.2896807768, -38.0620827257], [145.2896832124, -38.0620417573], [145.289682933, -38.0620048047], [145.2896797769, -38.0619641154], [145.2896736633, -38.0619280692], [145.2896652428, -38.0618882946], [145.2896537969, -38.0618511795], [145.2896402134, -38.0618128617], [145.2896262422, -38.0617765207], [145.2896079364, -38.0617403863], [145.2895866572, -38.061703446], [145.2895634538, -38.0616700021], [145.2895395281, -38.0616413431], [145.2895126669, -38.0616108138], [145.2894845939, -38.0615834228], [145.289453076, -38.0615568338], [145.2894162166, -38.0615294476], [145.2893813014, -38.0615068708], [145.2893498689, -38.0614912015], [145.2893122224, -38.061472992], [145.2892747223, -38.0614583886], [145.2892344577, -38.0614450068], [145.2891976493, -38.061435016], [145.2891557118, -38.0614264979], [145.2891031412, -38.061419575], [145.2890604886, -38.0614161112], [145.2889871472, -38.0614187028], [145.2889440385, -38.0614228446], [145.2888995788, -38.0614290355], [145.2888570586, -38.0614381328], [145.2888202673, -38.0614500581], [145.2887787949, -38.0614641188], [145.2887398119, -38.0614781737], [145.2887002468, -38.0614968474], [145.2886648783, -38.06151505], [145.2886280785, -38.0615381813], [145.2885927267, -38.0615625713], [145.2885593851, -38.0615896142], [145.2885280006, -38.0616149193], [145.2884978959, -38.0616455727], [145.2884699016, -38.0616777819], [145.2884439372, -38.061711627], [145.2884202085, -38.0617467937], [145.2883987285, -38.0617832497], [145.2883796202, -38.0618206412], [145.2883628816, -38.0618590582], [145.2883486329, -38.0618982323], [145.2883371021, -38.061938167], [145.2883280696, -38.0619784986], [145.2883216518, -38.0620191378], [145.2883180932, -38.0620599651], [145.2883171431, -38.0621005977], [145.288318947, -38.0621410554], [145.2883234062, -38.0621813921], [145.2883303392, -38.0622214137], [145.2883399069, -38.0622608445], [145.2883521141, -38.0622995028], [145.2883668491, -38.0623372968], [145.2883841182, -38.0623739561], [145.2884038074, -38.0624094791], [145.2884258069, -38.0624436841], [145.2884501232, -38.0624763006], [145.2884766401, -38.0625074172], [145.2885049082, -38.0625367569], [145.2885354972, -38.062564328], [145.2885678394, -38.0625900322], [145.2886018273, -38.0626135975], [145.2886374587, -38.062635114], [145.2886745099, -38.0626543982], [145.2887128691, -38.0626713583], [145.2887521923, -38.0626860795], [145.2887927109, -38.0626983838], [145.2888386098, -38.0627047324], [145.2888807243, -38.0627121122], [145.2889254269, -38.062715487], [145.2889682635, -38.0627177368], [145.2890200218, -38.0627140258], [145.2890631745, -38.06271114], [145.2890944821, -38.0627029463], [145.2891371806, -38.0626950969], [145.289175513, -38.0626838495], [145.2892169578, -38.0626711152], [145.2892615799, -38.0626541013], [145.2893013158, -38.0626365629], [145.2893357658, -38.0626159735], [145.2893732001, -38.0625940845], [145.2894007578, -38.0625706953], [145.2894353338, -38.062544524], [145.2894676941, -38.0625156166], [145.2894985942, -38.0624857866], [145.2895237992, -38.0624557836], [145.2895507825, -38.0624228326], [145.2895756995, -38.062385616], [145.28959819, -38.0623498059], [145.289616575, -38.0623189827], [145.289634442, -38.0622810326], [145.2896464595, -38.062239753], [145.2896593465, -38.0622002886], [145.2896684531, -38.0621665366], [145.2896762336, -38.0621260966]]]], ""type"": ""MultiPolygon""}",Oval 2 - Strathaird Reserve,Oval,3805,Turf,Synthetic,130A4,-38.0621261,145.2896762,349900,5785918,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.062126096603876,145.28967623356476/@your+location,17z/data=!4m2!4m1!3e0"
"-38.03773998025451, 145.324846312211","{""coordinates"": [[[[145.3250138821, -38.0369663678], [145.3249130082, -38.0369677606], [145.3247641007, -38.0369926561], [145.3247044573, -38.037008989], [145.3245891124, -38.0370554621], [145.3244793872, -38.0371252719], [145.324361289, -38.0372281863], [145.3242546195, -38.0373371133], [145.3241779208, -38.0374609747], [145.3241330257, -38.0375704682], [145.3241159663, -38.0376294447], [145.3241034025, -38.0377066475], [145.3240960524, -38.0377804222], [145.3240980073, -38.0378436105], [145.3241129853, -38.0379341469], [145.3241564837, -38.0380706767], [145.3242006087, -38.0381719317], [145.3242341184, -38.0382332485], [145.3243215515, -38.0383395886], [145.3243850428, -38.0383911536], [145.3244657656, -38.0384390761], [145.3245390752, -38.038472832], [145.3246348682, -38.0385024892], [145.3247104566, -38.0385106118], [145.3247803921, -38.038513703], [145.3248708724, -38.0385023018], [145.3249286408, -38.038492401], [145.3249861077, -38.0384757369], [145.3250613319, -38.0384498633], [145.3251971269, -38.0383760984], [145.3252939256, -38.0382934867], [145.3254169086, -38.0381718659], [145.3254964518, -38.0380463819], [145.3255535701, -38.0379048976], [145.3255771398, -38.0377855552], [145.325585576, -38.0376552731], [145.3255842296, -38.0375492738], [145.3255658209, -38.0374670032], [145.325548173, -38.0374263784], [145.3254981313, -38.0373036143], [145.3254233562, -38.0371998342], [145.3253846303, -38.0371526098], [145.3253105871, -38.037086669], [145.3251924157, -38.0370171256], [145.3251126416, -38.0369876914], [145.3250581745, -38.0369727666], [145.3250138821, -38.0369663678]]]], ""type"": ""MultiPolygon""}",Oval 2 - Sweeney Reserve,Oval,3806,Turf,Turf,110J9,-38.03696637,145.3250139,352996,5788674,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.03696636775402,145.32501388213694/@your+location,17z/data=!4m2!4m1!3e0"
"-38.04059445431027, 145.3296098864052","{""coordinates"": [[[[145.3292048847, -38.0400016782], [145.329004656, -38.0410643727], [145.3300182159, -38.0411852143], [145.3302130694, -38.0401249859], [145.3292048847, -38.0400016782]]]], ""type"": ""MultiPolygon""}",Soccer Pitch 2 - Sweeney Reserve,Soccer,3806,Turf,Na,110K10,-38.04000168,145.3292049,353420,5788365,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.04000167816904,145.32920488467624/@your+location,17z/data=!4m2!4m1!3e0"
"-38.04010894523052, 145.32389164279604","{""coordinates"": [[[[145.3234862544, -38.0396582124], [145.3233247669, -38.0404101518], [145.3233757387, -38.0404522418], [145.3243049254, -38.0405577895], [145.3244574852, -38.0397718644], [145.3234862544, -38.0396582124]]]], ""type"": ""MultiPolygon""}",Softball Field 6 - Sweeney Reserve,Softball,3806,Turf,Na,110J9,-38.03965821,145.3234863,352917,5788410,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.039658212366895,145.32348625436046/@your+location,17z/data=!4m2!4m1!3e0"
"-38.11894839807113, 145.310122029875","{""coordinates"": [[[[145.3109501162, -38.1189706048], [145.310953016, -38.1189239655], [145.3109507698, -38.1188729266], [145.3109436783, -38.1188242511], [145.3109376814, -38.118777574], [145.3109289975, -38.1187286954], [145.3109127793, -38.1186751124], [145.3108951055, -38.1186252935], [145.310874073, -38.1185776792], [145.3108506603, -38.1185293999], [145.3108218257, -38.1184887025], [145.310795709, -38.1184538118], [145.3107664929, -38.1184148212], [145.3107232488, -38.118375719], [145.3106885113, -38.1183436782], [145.310655847, -38.1183157225], [145.3106063787, -38.1182843709], [145.3105643326, -38.1182625885], [145.3105211979, -38.1182434939], [145.3104759609, -38.1182215754], [145.3104294074, -38.1182023415], [145.3103825862, -38.1181897724], [145.3103339551, -38.1181765464], [145.310280864, -38.1181687535], [145.3102322845, -38.1181631882], [145.3101813931, -38.1181589415], [145.3101287641, -38.1181607977], [145.3100775056, -38.1181625835], [145.3100224339, -38.1181714337], [145.3099719485, -38.1181792685], [145.309929644, -38.1181934391], [145.3098801617, -38.1182072361], [145.3098265199, -38.1182332292], [145.3097792993, -38.1182528262], [145.3097474649, -38.1182680485], [145.3097031985, -38.1182930951], [145.3096638272, -38.1183185725], [145.3096227514, -38.1183487115], [145.3095831619, -38.1183836482], [145.3095462013, -38.1184183523], [145.3095038313, -38.1184551413], [145.3094715665, -38.1184939683], [145.309442611, -38.1185277963], [145.3094079856, -38.1185898396], [145.3093921856, -38.1186170981], [145.3093785667, -38.1186437572], [145.3093558595, -38.1186885793], [145.309332936, -38.1187477271], [145.309320419, -38.11879585], [145.3093092439, -38.1188352508], [145.3093012675, -38.1188843403], [145.3092980783, -38.1189335888], [145.3092944102, -38.1189838217], [145.3092917933, -38.1190329883], [145.3092966267, -38.1190657706], [145.3093061202, -38.1191141203], [145.309321536, -38.1191876079], [145.3093370009, -38.1192342412], [145.3093504092, -38.1192760685], [145.309371974, -38.1193203564], [145.309393344, -38.1193631996], [145.3094204531, -38.1194045032], [145.3094523702, -38.1194500215], [145.3094845841, -38.1194876136], [145.3095273472, -38.1195277908], [145.3095641103, -38.1195610327], [145.3096032041, -38.1195921452], [145.3096441826, -38.1196206715], [145.3096871291, -38.1196430079], [145.3097315373, -38.1196662665], [145.3097827049, -38.1196833142], [145.3098323114, -38.1196988073], [145.3098801286, -38.1197127427], [145.3099304819, -38.1197205866], [145.3099776941, -38.1197261323], [145.310028319, -38.1197320875], [145.3100791306, -38.1197348913], [145.3101301248, -38.1197347238], [145.3101840965, -38.119729102], [145.3102347779, -38.1197227118], [145.3102903691, -38.1197111654], [145.3103495578, -38.1196920108], [145.3103907643, -38.1196760219], [145.310433762, -38.1196615007], [145.3104839089, -38.1196387013], [145.3105256712, -38.1196134382], [145.31056581, -38.1195893233], [145.3106064112, -38.1195649447], [145.3106461377, -38.1195290184], [145.3106811327, -38.1194954572], [145.3107168327, -38.119461005], [145.310753526, -38.119418096], [145.3107843784, -38.1193860973], [145.3108127096, -38.1193496466], [145.3108384556, -38.1193065801], [145.3108613838, -38.1192620312], [145.3108814882, -38.1192162702], [145.3108986506, -38.1191694755], [145.3109169719, -38.1191218865], [145.3109338461, -38.1190727446], [145.3109431547, -38.1190202497], [145.3109501162, -38.1189706048]]]], ""type"": ""MultiPolygon""}",Oval 1 (Vfl Football) - Casey Fields,Oval,3977,Turf,Synthetic,134F7,-38.1189706,145.3109501,351868,5779640,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.11897060480314,145.31095011620013/@your+location,17z/data=!4m2!4m1!3e0"
"-37.969683111583116, 145.2494991714334","{""coordinates"": [[[[145.2492489567, -37.9701106431], [145.2498049159, -37.9701001173], [145.2497749965, -37.9692496701], [145.2492313052, -37.9692634884], [145.2492032586, -37.9692640873], [145.2492073935, -37.9698495948], [145.2492105785, -37.9700520411], [145.2492489567, -37.9701106431]]]], ""type"": ""MultiPolygon""}",Soccer Pitch 2 - Chalcot Lodge,Soccer,3802,Turf,Na,91B2,-37.97011064,145.249249,346242,5796105,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-37.97011064310818,145.24924895673962/@your+location,17z/data=!4m2!4m1!3e0"
"-38.11538942115512, 145.27116175964767","{""coordinates"": [[[[145.2708116048, -38.1149211318], [145.2706649822, -38.1157530992], [145.2715046169, -38.1158623612], [145.2716626754, -38.1150240826], [145.2708116048, -38.1149211318]]]], ""type"": ""MultiPolygon""}",Soccer Pitch 2 - Cranbourne Soccer Club,Soccer,3977,Turf,Na,133G6,-38.11492113,145.2708116,348445,5779971,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.114921131845705,145.27081160475288/@your+location,17z/data=!4m2!4m1!3e0"
"-38.1569063188691, 145.30270034063875","{""coordinates"": [[[[145.3033558318, -38.1570382384], [145.3033634961, -38.1569881307], [145.3033700789, -38.1569436157], [145.3033780952, -38.1568933426], [145.3033861341, -38.1568320012], [145.3033837748, -38.1567811411], [145.3033873087, -38.1567320783], [145.3033782523, -38.1566796781], [145.3033782884, -38.156633771], [145.3033666886, -38.1565863934], [145.30336072, -38.1565487283], [145.3033450459, -38.1565033845], [145.3033286525, -38.1564600367], [145.3033063742, -38.156419849], [145.3032843523, -38.1563832478], [145.3032553439, -38.1563467315], [145.3032335146, -38.1563184317], [145.3032001134, -38.1562868055], [145.3031646395, -38.1562560966], [145.3031275818, -38.1562297956], [145.3030891736, -38.156202578], [145.3030488997, -38.156182002], [145.3029754785, -38.1561517932], [145.3029313081, -38.1561421721], [145.3028753592, -38.1561344988], [145.3028345888, -38.1561309386], [145.3027998747, -38.1561318927], [145.3027516944, -38.1561328015], [145.3026997244, -38.1561400453], [145.3026522067, -38.1561475462], [145.3026057357, -38.1561631856], [145.3025594207, -38.1561770249], [145.3025241726, -38.1561910242], [145.3024791987, -38.1562110109], [145.3024475597, -38.1562268647], [145.3024046198, -38.1562526482], [145.3023742968, -38.1562757304], [145.3023340863, -38.1563068703], [145.3023223711, -38.1563149917], [145.302285364, -38.1563510456], [145.3022603177, -38.156387812], [145.3022269618, -38.1564280611], [145.3021989887, -38.1564728051], [145.3021700061, -38.1565168138], [145.3021404774, -38.1565646896], [145.3021163318, -38.1566117421], [145.3021031657, -38.156647959], [145.3020842161, -38.1566973395], [145.3020645898, -38.156761129], [145.302050969, -38.1568120285], [145.3020350971, -38.1568665001], [145.3020272826, -38.1569180242], [145.3020190253, -38.1569643727], [145.3020133593, -38.1570146402], [145.3020085302, -38.1570635736], [145.3020122175, -38.1571024446], [145.3020199734, -38.1571516671], [145.3020250668, -38.1571995602], [145.3020375329, -38.1572469375], [145.3020477858, -38.1572938337], [145.3020561601, -38.1573185242], [145.3020768505, -38.1573617922], [145.3021318853, -38.1574633959], [145.3021730038, -38.1575026874], [145.3022077145, -38.1575329238], [145.3022286821, -38.1575539592], [145.3022667987, -38.1575787543], [145.302303115, -38.1576075118], [145.3023442072, -38.1576269249], [145.3023760649, -38.1576445577], [145.3024195732, -38.1576579195], [145.3024588759, -38.1576726259], [145.3024979303, -38.1576803396], [145.3025275844, -38.1576853302], [145.3025738766, -38.1576859841], [145.3026051454, -38.157685394], [145.3026519163, -38.1576794993], [145.3026985851, -38.15767203], [145.3027448032, -38.1576599026], [145.3027923056, -38.1576503785], [145.302847471, -38.1576298269], [145.3028915298, -38.1576087075], [145.3029569296, -38.1575802984], [145.3030208342, -38.1575372647], [145.3030568709, -38.1574999004], [145.303092881, -38.1574719789], [145.3031248594, -38.1574304367], [145.30315052, -38.1574064488], [145.3031783593, -38.1573616315], [145.3031952764, -38.1573326198], [145.3032642411, -38.1572577247], [145.3033015369, -38.1571850031], [145.3033201982, -38.157127967], [145.3033420188, -38.1570841278], [145.3033558318, -38.1570382384]]]], ""type"": ""MultiPolygon""}",Oval - Glover Rec Reserve,Oval,3977,Turf,Synthetic,138D6,-38.15703824,145.3033558,351294,5775415,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.15703823835711,145.30335583178592/@your+location,17z/data=!4m2!4m1!3e0"
"-38.00211805566718, 145.27000293218646","{""coordinates"": [[[[145.270737745, -38.0020680836], [145.2707225603, -38.0020207685], [145.2707114579, -38.001963534], [145.2706906231, -38.0019173431], [145.2706737636, -38.0018669526], [145.2706475242, -38.0018227075], [145.2706301364, -38.001787878], [145.2706058284, -38.0017418272], [145.2705763953, -38.001699673], [145.2705433469, -38.0016500719], [145.2705210269, -38.0016119611], [145.2704798869, -38.0015787859], [145.2704413204, -38.0015390337], [145.2703965866, -38.0015099094], [145.2703510349, -38.0014827759], [145.2703052818, -38.0014576643], [145.2702667691, -38.0014337735], [145.2702188342, -38.0014138729], [145.2701617731, -38.0013982494], [145.270112711, -38.0013840123], [145.2700640611, -38.0013722884], [145.2700145026, -38.0013637739], [145.2699744516, -38.0013587842], [145.2699262662, -38.0013561231], [145.2698841247, -38.0013576774], [145.269835703, -38.0013673985], [145.2697861495, -38.0013787468], [145.2697386272, -38.0013880734], [145.2697047834, -38.0014012096], [145.2696597424, -38.0014164115], [145.2696245779, -38.0014352162], [145.2695842325, -38.0014562485], [145.2695633594, -38.0014725091], [145.2695255237, -38.0014988951], [145.2694858886, -38.001532855], [145.2694525301, -38.0015639469], [145.2694249927, -38.0015921299], [145.2693966824, -38.001627651], [145.2693774401, -38.0016478213], [145.2693549561, -38.0016871598], [145.2693322841, -38.0017188714], [145.2693155867, -38.0017612299], [145.2693008533, -38.0018080967], [145.2692902262, -38.001853099], [145.2692795758, -38.0018998423], [145.2692747222, -38.0019463015], [145.2692703906, -38.0019800264], [145.2692716938, -38.0020276298], [145.2692692997, -38.0020681696], [145.2692767447, -38.0021163772], [145.2692826948, -38.0021927107], [145.2692885053, -38.0022404821], [145.2692989074, -38.0022718891], [145.2693088621, -38.0023064502], [145.2693241777, -38.0023595478], [145.2693446912, -38.0024209208], [145.2693816022, -38.0024759837], [145.2694098094, -38.0025154039], [145.2694383509, -38.0025568151], [145.2694652267, -38.0025874076], [145.2695013909, -38.0026257936], [145.2695404617, -38.0026688939], [145.2695804803, -38.0027018234], [145.2696230502, -38.0027261301], [145.269660205, -38.0027531841], [145.2697082579, -38.0027756353], [145.2697492518, -38.0027993058], [145.2697973797, -38.0028185728], [145.2698322566, -38.002831441], [145.2698655973, -38.0028424912], [145.2699078184, -38.0028556528], [145.2699986282, -38.002881271], [145.270036, -38.0028859065], [145.2700892841, -38.0028872946], [145.2701298915, -38.0028859059], [145.2701845224, -38.0028803681], [145.2702337628, -38.0028634239], [145.270278796, -38.0028490877], [145.2703284782, -38.0028295829], [145.2703705713, -38.0028095569], [145.2703972188, -38.0027931657], [145.2704352203, -38.0027682431], [145.2704636631, -38.0027452945], [145.2704973736, -38.0027156732], [145.2705209461, -38.0027008254], [145.2705500637, -38.0026664535], [145.2705859596, -38.0026294617], [145.2706135109, -38.0025908082], [145.2706245676, -38.002575649], [145.2706477121, -38.0025342306], [145.2706722442, -38.0024915836], [145.2706894523, -38.0024462179], [145.270714299, -38.0023804255], [145.270730043, -38.0023339433], [145.2707385005, -38.0023029814], [145.270741436, -38.0022555991], [145.2707451692, -38.0022105943], [145.2707391197, -38.0021626327], [145.2707403967, -38.0021171041], [145.270737745, -38.0020680836]]]], ""type"": ""MultiPolygon""}",Oval - Hallam Reserve,Oval,3803,Turf,Turf,91G11,-38.00206808,145.2707377,348110,5792538,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.00206808358132,145.2707377450113/@your+location,17z/data=!4m2!4m1!3e0"
"-38.103244255504755, 145.27073896663634","{""coordinates"": [[[[145.2714672972, -38.1032400531], [145.2714647859, -38.1032159548], [145.2714614681, -38.1031922051], [145.2714596387, -38.1031682069], [145.2714555638, -38.1031378674], [145.2714519061, -38.1031140226], [145.2714482165, -38.103091529], [145.2714426122, -38.103068016], [145.2714359599, -38.1030502551], [145.2714286349, -38.1030271673], [145.2714212773, -38.1030102972], [145.2714119993, -38.1029878115], [145.2713977575, -38.1029678662], [145.2713868706, -38.1029458975], [145.271370845, -38.1029242137], [145.271358229, -38.1029030307], [145.2713431446, -38.1028849654], [145.2713287993, -38.102864568], [145.2713076768, -38.1028462337], [145.2712917122, -38.1028268037], [145.2712548693, -38.1027931883], [145.2712360015, -38.1027759686], [145.2712030867, -38.1027498908], [145.2711829351, -38.1027339138], [145.2711562327, -38.1027152269], [145.2711347951, -38.1027005827], [145.2711125171, -38.1026877285], [145.2710900238, -38.1026743304], [145.2710665335, -38.1026645223], [145.2710430921, -38.1026526422], [145.2709655359, -38.1026238346], [145.2709403122, -38.1026149923], [145.2708904369, -38.1025972259], [145.2708641107, -38.1025916116], [145.2707994204, -38.1025782231], [145.2707726928, -38.1025751261], [145.2707185591, -38.1025735182], [145.2706915248, -38.102573751], [145.2706172467, -38.1025800471], [145.2705905899, -38.1025836198], [145.2705573752, -38.1025896193], [145.2705309082, -38.1025948169], [145.2705077069, -38.1026017749], [145.2704818835, -38.1026086942], [145.270457164, -38.1026171617], [145.2704317584, -38.1026257093], [145.2703683271, -38.1026508193], [145.2703444474, -38.1026623632], [145.2703171305, -38.1026745774], [145.2702938711, -38.102688834], [145.2702715365, -38.1027025634], [145.2702178062, -38.1027418745], [145.2701979181, -38.1027582534], [145.2701600041, -38.1028039254], [145.270142913, -38.1028225984], [145.2701248985, -38.1028465747], [145.2701091521, -38.1028662588], [145.2700864618, -38.1028998989], [145.2700690505, -38.1029273086], [145.2700566839, -38.1029487547], [145.2700426807, -38.1029863978], [145.2700318931, -38.1030085881], [145.2700287001, -38.1030279163], [145.2700192862, -38.1030547228], [145.270013049, -38.1030870733], [145.2700098722, -38.1031105472], [145.2700064624, -38.1031390642], [145.2700044582, -38.1031708462], [145.2700049862, -38.1032113167], [145.2700081456, -38.1032465992], [145.2700134591, -38.1032775877], [145.270014718, -38.1033015775], [145.2700195685, -38.1033231871], [145.2700242603, -38.1033466867], [145.270029049, -38.1033709088], [145.2700340806, -38.1033945037], [145.2700506382, -38.1034320588], [145.2700593365, -38.1034548077], [145.270074424, -38.1034857758], [145.2700844471, -38.1035080045], [145.270103868, -38.10354213], [145.2701159942, -38.1035635495], [145.2701340266, -38.1035894352], [145.2701479023, -38.1036101001], [145.2701626942, -38.1036274315], [145.2701782037, -38.1036470351], [145.2701964805, -38.1036694703], [145.2702134928, -38.1036881071], [145.2702298004, -38.1037024957], [145.2702483012, -38.1037200689], [145.2702698018, -38.1037418336], [145.2702896043, -38.1037581662], [145.2703107945, -38.1037737983], [145.2703331118, -38.1037874663], [145.2703703638, -38.1038087493], [145.2703936596, -38.1038209925], [145.2704102843, -38.1038324117], [145.270434487, -38.1038431351], [145.2704630352, -38.1038524798], [145.2704880328, -38.1038616802], [145.2705185319, -38.1038744007], [145.2705448773, -38.1038803039], [145.2705824452, -38.1038905389], [145.2706092436, -38.1038950195], [145.2706409546, -38.10390144], [145.2706648283, -38.1039053082], [145.2707028395, -38.1039089334], [145.2707298388, -38.103909964], [145.2707828653, -38.1039139969], [145.2708108389, -38.1039117122], [145.2708481256, -38.1039106493], [145.2708749024, -38.1039066293], [145.2708875953, -38.1039051941], [145.2709137588, -38.1039031466], [145.2709398757, -38.1038974094], [145.2709670538, -38.1038897981], [145.2709926447, -38.1038817136], [145.2710237816, -38.1038741699], [145.2710485257, -38.103864532], [145.2710815314, -38.1038525839], [145.2711056307, -38.1038414036], [145.2711311152, -38.1038295227], [145.2711541106, -38.1038167941], [145.2711772644, -38.1038022667], [145.2711992686, -38.1037881739], [145.271221772, -38.1037734825], [145.2712426753, -38.1037581205], [145.2712599324, -38.1037424301], [145.2712794866, -38.1037257769], [145.2713051296, -38.1037021812], [145.2713233473, -38.1036843357], [145.2713377766, -38.103667432], [145.2713546191, -38.1036481904], [145.2713630232, -38.1036297279], [145.2713756662, -38.1036104233], [145.2713871924, -38.103590336], [145.2713997821, -38.10356907], [145.2714100921, -38.1035477738], [145.2714185844, -38.1035261804], [145.2714297094, -38.1035041752], [145.2714363945, -38.1034818343], [145.2714458242, -38.1034591733], [145.2714502313, -38.1034367088], [145.2714557848, -38.1034139908], [145.271458391, -38.1033905085], [145.2714640776, -38.1033669814], [145.2714649129, -38.10334122], [145.2714687817, -38.1033173958], [145.2714682064, -38.1032934161], [145.2714701414, -38.1032693832], [145.2714672972, -38.1032400531]]]], ""type"": ""MultiPolygon""}",Oval 1 - J&p Cam Reserve,Oval,3977,Turf,Synthetic,133G3,-38.10324005,145.2714673,348383,5781319,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.10324005313837,145.27146729723708/@your+location,17z/data=!4m2!4m1!3e0"
